Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.25,Back Bay Books,Paperback,1088,2005,1996,,2025/06/16,good-books,good-books (#7),read,,,,1,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",0,4.09,Random House,Paperback,710,2000,2000,,2025/06/16,good-books,good-books (#6),read,,,,1,0
374233,If on a Winter’s Night a Traveler,Italo Calvino,"Calvino, Italo",William Weaver,"=""""","=""""",0,4.02,L&OD Key Porter,Paperback,260,1982,1979,,2025/06/16,good-books,good-books (#5),read,,,,1,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""0786868716""","=""9780786868711""",0,4.01,Hyperion,Hardcover,196,2003,2003,,2025/06/16,good-books,good-books (#4),read,,,,1,0
9999,The Box Man,Kōbō Abe,"Abe, Kōbō",,"=""0375726519""","=""9780375726514""",0,3.59,Vintage,Paperback,178,2001,1973,,2025/06/16,good-books,good-books (#3),read,,,,1,0
25191,"A Personal Matter (Oe, Kenzaburo)",Kenzaburō Ōe,"Ōe, Kenzaburō",John Nathan,"=""0802150616""","=""9780802150615""",0,3.90,Grove Press,Paperback,165,1994,1964,,2025/06/16,good-books,good-books (#2),read,,,,1,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,,2025/06/16,good-books,good-books (#1),read,,,,1,0
10065258,Goethe's Faust,Frederic P.  Miller,"Miller, Frederic P.","Agnes F. Vandome, John McBrewster","=""6131870209""","=""9786131870200""",0,3.94,Alphascript Publishing,Paperback,116,2010,2010,,2025/06/16,,,read,,,,1,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",0,4.14,Broadway,Paperback,246,1998,1990,,2025/06/16,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","William J. Winslade, Harold S. Kushner, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1946,,2025/06/16,,,read,,,,1,0
